experiment_id;action;step_id;step_name;short_text_viewed;long_text_viewed;single_pieces_viewed;assembly_viewed;video_viewed
1;navigate_next;1;Withdraw Components for PIECE 1;1;0;1;0;0
1;navigate_next;2;Assembly PIECE 1;1;0;0;0;1
1;navigate_next;3;Withdraw Components for PIECE 2;0;0;1;0;0
1;navigate_next;4;Assembly PIECE 2;0;0;0;0;1
1;navigate_next;5;Withdraw Components for PIECE 3;0;0;1;0;0
1;navigate_next;6;Assembly PIECE 3;0;0;0;1;0
1;navigate_next;7;Withdraw Components for PIECE 4;0;0;1;0;0
1;navigate_next;8;Assembly PIECE 4;0;0;0;1;0
1;navigate_next;9;Withdraw Components for PIECE 5;0;0;1;0;0
1;navigate_next;10;Assembly PIECE 5;0;0;0;1;0
1;navigate_next;11;Assembly PIECE 6;0;0;1;1;0
1;navigate_next;12;Withdraw Components for PIECE 7;0;0;1;0;0
1;navigate_next;13;Assembly PIECE 7;0;0;0;1;1
1;navigate_next;14;Withdraw Components for PIECE 8;0;0;1;0;0
1;navigate_next;15;Assembly PIECE 8;0;0;0;0;1
1;navigate_to_thankyou;16;Final Control;0;0;0;0;1
2;navigate_next;1;Withdraw Components for PIECE 1;1;0;0;0;0
2;navigate_next;2;Assembly PIECE 1;1;1;1;1;0
2;navigate_next;3;Withdraw Components for PIECE 2;1;0;0;0;0
2;navigate_next;4;Assembly PIECE 2;1;0;1;1;1
2;navigate_next;5;Withdraw Components for PIECE 3;1;0;0;0;0
2;navigate_next;6;Assembly PIECE 3;1;0;0;1;0
2;navigate_next;7;Withdraw Components for PIECE 4;1;0;0;0;0
2;navigate_next;8;Assembly PIECE 4;1;0;0;1;0
2;navigate_next;9;Withdraw Components for PIECE 5;1;0;0;0;0
2;navigate_next;10;Assembly PIECE 5;1;0;1;1;0
2;navigate_next;11;Assembly PIECE 6;1;0;0;1;0
2;navigate_next;12;Withdraw Components for PIECE 7;1;0;0;0;0
2;navigate_next;13;Assembly PIECE 7;1;1;0;1;0
2;navigate_next;14;Withdraw Components for PIECE 8;1;0;0;0;0
2;navigate_next;15;Assembly PIECE 8;1;0;0;1;0
2;navigate_to_thankyou;16;Final Control;1;1;1;0;0
3;navigate_next;1;Withdraw Components for PIECE 1;1;0;0;0;0
3;navigate_next;2;Assembly PIECE 1;1;0;1;1;0
3;navigate_next;3;Withdraw Components for PIECE 2;1;0;0;0;0
3;navigate_next;4;Assembly PIECE 2;1;1;0;1;0
3;navigate_next;5;Withdraw Components for PIECE 3;1;0;0;0;0
3;navigate_next;6;Assembly PIECE 3;1;0;0;1;0
3;navigate_next;7;Withdraw Components for PIECE 4;1;0;0;0;0
3;navigate_next;8;Assembly PIECE 4;1;0;0;1;0
3;navigate_next;9;Withdraw Components for PIECE 5;1;0;0;0;0
3;navigate_next;10;Assembly PIECE 5;1;0;0;1;0
3;navigate_next;11;Assembly PIECE 6;1;0;0;1;0
3;navigate_next;12;Withdraw Components for PIECE 7;1;0;0;0;0
3;navigate_next;13;Assembly PIECE 7;1;0;0;1;1
3;navigate_next;14;Withdraw Components for PIECE 8;1;0;0;0;0
3;navigate_next;15;Assembly PIECE 8;1;0;0;1;0
3;navigate_to_thankyou;16;Final Control;1;0;0;0;1
4;navigate_next;1;Withdraw Components for PIECE 1;1;0;1;0;0
4;navigate_next;2;Assembly PIECE 1;0;0;0;1;0
4;navigate_next;3;Withdraw Components for PIECE 2;1;0;1;0;0
4;navigate_next;4;Assembly PIECE 2;0;0;1;1;0
4;navigate_next;5;Withdraw Components for PIECE 3;1;0;1;0;0
4;navigate_next;6;Assembly PIECE 3;0;0;0;1;0
4;navigate_next;7;Withdraw Components for PIECE 4;1;0;1;0;0
4;navigate_next;8;Assembly PIECE 4;0;0;0;1;0
4;navigate_next;9;Withdraw Components for PIECE 5;1;0;1;0;0
4;navigate_next;10;Assembly PIECE 5;0;0;0;1;0
4;navigate_next;11;Assembly PIECE 6;0;0;0;1;0
4;navigate_next;12;Withdraw Components for PIECE 7;1;0;1;0;0
4;navigate_next;13;Assembly PIECE 7;0;0;0;1;0
4;navigate_next;14;Withdraw Components for PIECE 8;1;0;1;0;0
4;navigate_next;15;Assembly PIECE 8;0;0;0;1;0
4;navigate_to_thankyou;16;Final Control;1;0;1;0;1
5;navigate_next;1;Withdraw Components for PIECE 1;1;0;1;0;0
5;navigate_next;2;Assembly PIECE 1;0;0;0;1;0
5;navigate_next;3;Withdraw Components for PIECE 2;1;0;1;0;0
5;navigate_next;4;Assembly PIECE 2;0;0;0;0;1
5;navigate_next;5;Withdraw Components for PIECE 3;1;0;1;0;0
5;navigate_next;6;Assembly PIECE 3;0;0;0;1;0
5;navigate_next;7;Withdraw Components for PIECE 4;1;0;1;0;0
5;navigate_next;8;Assembly PIECE 4;0;0;0;1;0
5;navigate_next;9;Withdraw Components for PIECE 5;1;0;1;0;0
5;navigate_next;10;Assembly PIECE 5;0;0;0;1;0
5;navigate_next;11;Assembly PIECE 6;0;0;0;1;0
5;navigate_next;12;Withdraw Components for PIECE 7;1;0;1;0;0
5;navigate_next;13;Assembly PIECE 7;1;0;1;1;1
5;navigate_next;14;Withdraw Components for PIECE 8;1;0;0;0;0
5;navigate_next;15;Assembly PIECE 8;0;0;0;1;0
5;navigate_to_thankyou;16;Final Control;1;1;1;0;1
6;navigate_next;1;Withdraw Components for PIECE 1;1;0;1;0;0
6;navigate_next;2;Assembly PIECE 1;1;1;0;1;0
6;navigate_next;3;Withdraw Components for PIECE 2;1;0;1;0;0
6;navigate_next;4;Assembly PIECE 2;1;0;0;1;0
6;navigate_next;5;Withdraw Components for PIECE 3;1;0;0;0;0
6;navigate_next;6;Assembly PIECE 3;1;0;0;1;0
6;navigate_next;7;Withdraw Components for PIECE 4;1;0;1;0;0
6;navigate_next;8;Assembly PIECE 4;0;0;0;1;0
6;navigate_next;9;Withdraw Components for PIECE 5;1;0;0;0;0
6;navigate_next;10;Assembly PIECE 5;0;1;0;1;0
6;navigate_next;11;Assembly PIECE 6;1;0;0;1;0
6;navigate_next;12;Withdraw Components for PIECE 7;1;0;1;0;0
6;navigate_next;13;Assembly PIECE 7;0;1;0;1;1
6;navigate_next;14;Withdraw Components for PIECE 8;1;0;1;0;0
6;navigate_next;15;Assembly PIECE 8;1;0;0;1;0
6;navigate_to_thankyou;16;Final Control;1;1;0;0;1
7;navigate_next;1;Withdraw Components for PIECE 1;1;0;1;0;0
7;navigate_next;2;Assembly PIECE 1;1;1;1;1;0
7;navigate_next;3;Withdraw Components for PIECE 2;1;0;1;0;0
7;navigate_next;4;Assembly PIECE 2;0;1;0;1;1
7;navigate_next;5;Withdraw Components for PIECE 3;1;0;0;0;0
7;navigate_next;6;Assembly PIECE 3;0;1;0;0;1
7;navigate_next;7;Withdraw Components for PIECE 4;1;0;0;0;0
7;navigate_next;8;Assembly PIECE 4;1;1;0;0;1
7;navigate_next;9;Withdraw Components for PIECE 5;1;0;0;0;0
7;navigate_next;10;Assembly PIECE 5;0;1;0;0;1
7;navigate_next;11;Assembly PIECE 6;0;1;0;0;1
7;navigate_next;12;Withdraw Components for PIECE 7;1;0;1;0;0
7;navigate_next;13;Assembly PIECE 7;0;1;0;0;1
7;navigate_next;14;Withdraw Components for PIECE 8;1;0;1;0;0
7;navigate_next;15;Assembly PIECE 8;0;1;0;0;1
